,ID,pmid,sen
18,23014857L1,23014857,five assays were prepared in which sodium erythorbate control at 0.05 g/100 g was replaced with a hydrosoluble mixture containing caffeic acid + carnosic acid (47% + 53%) and a liposoluble mixture containing quercetin + rutin (67% + 33%) in two final concentrations (0.05 g/100 g and 0.08 g/100 g).
19,23014857L2,23014857,"physico chemical, color, texture, and sensory parameters were measured on the first day and after 45 days of storage at 4 °c."
20,23014857L3,23014857,"all phenolic compound mixtures were able to maintain oxidative stability in the sausages when measured by the malondialdehyde concentration, which was expressed as tbars."
21,23014857L4,23014857,"the mixture containing quercetin + rutin at 0.05 g/100 g showed lower malondialdehyde formation after 45 days of storage, and no sensory differences from the sausage adopted as control."
22,10801286L0,10801286,we investigated the existence of an endogenous system for lactate transport in xenopus laevis oocytes.
23,10801286L1,10801286,(36)cl uptake studies excluded the involvement of a dids sensitive anion antiporter as a possible pathway for lactate movement.
24,10801286L2,10801286,"l [(14)c]lactate uptake was unaffected by superimposed ph gradients, stimulated by the presence of na(+) in the incubating solution, and severely reduced by the monocarboxylate transporter inhibitor p chloromercuribenzenesulphonate (pcmbs)."
25,10801286L3,10801286,"transport exhibited a broad cation specificity and was cis inhibited by other monocarboxylates, mostly by pyruvate."
26,10801286L4,10801286,these results suggest that lactate uptake is mediated mainly by a transporter and that the preferred anion is pyruvate.
27,10801286L5,10801286,[(14)c]pyruvate uptake exhibited the same pattern of functional properties evidenced for l lactate.
28,10801286L6,10801286,"kinetic parameters were calculated for both monocarboxylates, and a higher affinity for pyruvate was revealed."
29,10801286L7,10801286,various inhibitors of monocarboxylate transporters reduced significantly pyruvate uptake.
30,10801286L8,10801286,"these studies demonstrate that xenopus laevis oocytes possess a monocarboxylate transport system that shares some functional features with the members of the mammalian monocarboxylate cotransporters family, but, in the meanwhile, exhibits some particular properties, mainly concerning cation specificity."
31,8075126L0,8075126,secretory granules from the rat pancreas contain electrolyte transport pathways that may contribute to exocrine fluid production.
32,8075126L1,8075126,the cl  selective transport pathway was measured indirectly in isolated granules by ionophore induced lysis after suspension in isotonic kcl.
33,8075126L2,8075126,this cl  transport was shown to respond to alterations in the granule membrane lipid environment.
34,8075126L3,8075126,exogenously added phospholipase a2 (pla2) caused an increase of up to 193% in the cl  specific transport by the isolated granules.
35,8075126L4,8075126,"in addition, the products of pla2 hydrolysis, lysophospholipids and unesterified fatty acids, directly increased the rate of cl  transport when incubated with granules in vitro."
36,8075126L5,8075126,lysophospholipids (2.0 micrograms/ml) increased the cl  transport between 280 450% (depending on the lysophospholipid species).
37,8075126L6,8075126,"similarly, free fatty acids (10 microm) increased the granule cl  transport from 25% with capric acid (10:0) to 255% with arachidonic acid (20:4)."
38,8075126L7,8075126,"the relative extent of stimulation by fatty acids was dependent on their carbon chain length and to a lesser extent, the degree of unsaturation."
39,8075126L8,8075126,"the inhibition (68%) of pla2 promoted granule lysis by 4 acetamido 4' isothiocyanatostilbene 2,2' disulfonic acid (0.5 mm) also suggests that the effect is specific for the granule cl  channel."
40,8075126L9,8075126,"thus, the data show that zymogen granule cl  transport is influenced by membrane lipids and supports a role for pla2 in controlling electrolyte transport during stimulus secretion coupling."
41,16521701L0,16521701,eicosapentaenoic acid (epa) has been shown to exert anti inflammatory actions.
42,16521701L1,16521701,"to evaluate the effects of epa on chronic hepatitis c, we administered epa ethyl ester capsules to patients receiving the combination therapy of interferon alpha 2b and ribavirin."
43,16521701L2,16521701,"epa (1,800 mg/d) was supplemented in combination with vitamin e (300 mg/d) and c (600 mg/d) to 5 chronic hepatitis c patients (epa group)."
44,16521701L3,16521701,five patients were administered vitamin e and c but not epa (control group).
45,16521701L4,16521701,"blood samples were obtained before and after 4, 8, 12 and 24 wk of therapy and analyzed for fatty acid compositions of erythrocyte and plasma and serum 8 hydroxy 2' deoxyguanosine."
46,16521701L5,16521701,"epa in erythrocyte membrane rose to 3 fold the basal level in the epa group, while it decreased significantly in the control group after 24 wk of therapy."
47,16521701L6,16521701,"lymphocyte counts in the epa group increased to 120.8 +/  25.4% after 4 wk of therapy and maintained the basal level throughout therapy, whereas the counts decreased significantly in controls."
48,16521701L7,16521701,the serum alanine aminotransferase level was improved significantly in the epa group.
49,16521701L8,16521701,changes in lymphocyte counts following 24 wk of therapy correlated with the epa level in erythrocyte.
50,16521701L9,16521701,the serum 8 hydroxy 2' deoxyguanosine level at 24 wk in the epa group was significantly lower than that in controls.
51,16521701L10,16521701,these observations may suggest the beneficial effect of epa supplementation in the treatment of chronic hepatitis c patients.
52,12923198L0,12923198,"age related macular degeneration (amd) is a slow, progressive disease with both genetic and environmental risk factors."
53,12923198L1,12923198,free radical induced oxidation of docosahexaenoate (dha) containing lipids generates omega (2 carboxyethyl)pyrrole (cep) protein adducts that are more abundant in ocular tissues from amd than normal human donors.
54,12923198L2,12923198,"to understand better the role of oxidative damage in amd, we have synthesized cep modified proteins, produced anti cep antibodies, and initiated analysis of cep immunoreactivity and autoantibodies in human plasma."
55,12923198L3,12923198,"a highly selective rabbit polyclonal anti cep antibody was raised that binds cep 1000 times more strongly than carboxypropylpyrrole, a close structural analogue."
56,12923198L4,12923198,the cep adduct uniquely indicates oxidative modification from dha derivatives because cep protein modifications cannot arise from any other common polyunsaturated fatty acid.
57,12923198L5,12923198,immunocytochemistry localized cep to photoreceptor rod outer segments and retinal pigment epithelium in mouse retina and demonstrated more intense cep immunoreactivity in photoreceptors from a human amd donor compared with healthy human retina.
58,12923198L6,12923198,the mean level of anti cep immunoreactivity in amd human plasma (n = 19 donors) was 1.5 fold higher (p = 0.004) than in age matched controls (n = 19 donors).
59,12923198L7,12923198,sera from amd patients demonstrated mean titers of anti cep autoantibody 2.3 fold higher than controls (p = 0.02).
60,12923198L8,12923198,"of individuals (n = 13) exhibiting both antigen and autoantibody levels above the mean for non amd controls, 92% had amd."
61,12923198L9,12923198,these results suggest that together cep immunoreactivity and autoantibody titer may have diagnostic utility in predicting amd susceptibility.
62,9895229L0,9895229,metabolic abnormalities observed in retina and in cerebral cortex were compared in diabetic rats and experimentally galactosemic rats.
63,9895229L1,9895229,"diabetes or experimental galactosemia of 2 months duration significantly increased oxidative stress in retina, as shown by elevation of retinal thiobarbituric acid reactive substances (tbars) and subnormal activities of antioxidant defense enzymes, but had no such effect in the cerebral cortex."
64,9895229L2,9895229,"activities of sodium potassium adenosine triphosphatase [(na,k) atpase] and calcium atpase became subnormal in retina as well as in cerebral cortex."
65,9895229L3,9895229,"in contrast, protein kinase c (pkc) activity was elevated in retina but not in cerebral cortex in the same hyperglycemic rats."
66,9895229L4,9895229,"dietary supplementation with an antioxidant mixture (containing ascorbic acid, trolox, alpha tocopherol acetate, n acetyl cysteine, beta carotene, and selenium) prevented the diabetes induced and galactosemia induced elevation of retinal oxidative stress, the elevation of retinal pkc activity and the decrease of retinal atpases."
67,9895229L5,9895229,"in cerebral cortex, administration of the antioxidant diet also prevented the diabetes induced decreases in (na,k) atpase and calcium atpases, but had no effect on tbars and activities of pkc and antioxidant defense enzymes."
68,9895229L6,9895229,"the results indicate that retina and cerebral cortex differ distinctly in their response to elevation of tissue hexose, and that cerebral cortex is more resistant than retina to diabetes induced oxidative stress."
69,9895229L7,9895229,"the greater resistance to oxidative stress in cerebral cortex, as compared to retina, is consistent with the resistance of cerebral cortex to microvascular disease in diabetes, and with a hypothesis that oxidative stress contributes to microvascular disease in diabetes."
70,9895229L8,9895229,dietary supplementation with these antioxidants offers a means to inhibit multiple hyperglycemia induced retinal metabolic abnormalities.
71,6261530L0,6261530,polymorphonuclear leukocytes and other inflammatory cells on exposure to appropriate stimuli release superoxide anion radical into the extracellular space.
72,6261530L1,6261530,"this results in the further generation of other activated oxygen species such as hydrogen peroxide, hydroxyl radical and singlet oxygen."
73,6261530L2,6261530,"we have assessed the influence of activated oxygen species, generated by substrate xanthine oxidase systems, on the degradation of hyaluronic acid, human glial cells in culture and the microcirculation of the hamster cheek pouch."
74,6261530L3,6261530,"hyaluronic acid degradation was observed and morphological changes, culminating in cell death, were seen in glial cells."
75,6261530L4,6261530,increased microvascular permeability and increased polymorphonuclear leukocyte endothelial adhesion were also observed.
76,6261530L5,6261530,the results suggest that a variety of alterations to macromolecular and cellular elements of tissues can be mediated by specific free radical species.
77,6261530L6,6261530,similar mechanisms may play a role in the structural and cellular injury occurring in the microcirculation during inflammation and other disease processes.
78,27762305L0,27762305,osteogenesis imperfecta (oi) is a group of hereditary disorders characterized by decreased bone mass and increased fracture risk.
79,27762305L1,27762305,the majority of oi cases have an autosomal dominant pattern of inheritance and are usually caused by mutations in genes encoding type i collagen.
80,27762305L2,27762305,"oi cases of autosomal recessive inheritance are rare, and oi type xi is attributable to mutation of the fkbp10 gene."
81,27762305L3,27762305,"here, we used next generation sequencing and sanger sequencing to detect mutations in fkbp10 and to analyze their relation to the phenotypes of oi type xi in three chinese patients."
82,27762305L4,27762305,we also evaluated the efficacy of zoledronic acid treatment in these patients.
83,27762305L5,27762305,"two of the affected patients had novel compound heterozygous mutations, one patient with c.343c>t (p.r115x) in exon 2 and c.1085delc (p.a362fsx1) in exon 7, and the other patient with c.879c>g (p.y293x) in exon 5 and c.918 3c>g in intron 5. in the third proband, we identified a homozygous single base pair duplication, c.831dupc (p.g278rfsx95) in exon 5. in conclusion, we report for the first time that these novel pathogenic mutations of fkbp10 can lead to the extremely rare type xi oi without contractures, which expands the genotypic spectrum of oi."
84,27762305L6,27762305,"the phenotypes of these patients are similar to patients with types iii or iv oi, and zoledronic acid is effective in increasing bmd, inhibiting bone resorption biomarkers and reducing fractures of these patients."
85,3360755L0,3360755,"one of the microsomal carboxyesterases, carboxyesterase e1, was purified from rat liver to homogeneity."
86,3360755L1,3360755,"carboxyesterase e1 is a glycoprotein of high mannose type, and is composed of three identical subunits of 59 kda each."
87,3360755L2,3360755,"it is very similar to ""esterase pi 6.0"" described by menthein et al."
88,3360755L3,3360755,(arch.
89,3360755L4,3360755,biochem.
90,3360755L5,3360755,biophys.
91,3360755L6,3360755,"200, 547 559 (1980)) in molecular weight, amino acid composition, and enzymic activities."
92,3360755L7,3360755,carboxyesterase e1 was found to be evenly distributed between rough and smooth microsomes.
93,3360755L8,3360755,the content of the enzyme in microsomes was about 1.5% of total microsomal protein.
94,3360755L9,3360755,"it was exclusively located on the luminal side of microsomes, and was not detected immunologically in golgi fractions or serum."
95,3360755L10,3360755,"in vitro translation of rat liver rna by reticulocyte lysate showed that carboxyesterase e1 was synthesized preferentially on the bound ribosomes, as a precursor peptide larger than the peptide of the mature enzyme."
96,3360755L11,3360755,carboxyesterase e1 was solubilized from microsomes by treatment with low concentrations of detergents.
97,3360755L12,3360755,"however, it was not released from microsomes by treatment with a synthetic peptide which made the microsomal membrane permeable to soluble protein molecules."
98,3360755L13,3360755,"carboxyesterase e1 is not a soluble luminal protein, and seems to be bound to the luminal surface of the membrane."
99,9013956L0,9013956,the bop gene (for cd8b opposite) is located immediately upstream of the mouse cd8b gene.
100,9013956L1,9013956,expression of bop gene transcripts was previously observed in several long term ctl lines and in thymus.
101,9013956L2,9013956,"the present studies demonstrate that expression of the bop gene in lymphocytes appears to be confined to cd8 positive cells, and that bop gene expression is inducible by con a. they further show that a single bop gene encodes protein products with distinct amino terminal sequences that are expressed in ctls (t bop) and in cardiac and skeletal muscle (skm bop), as well as what appears to be a noncoding cdna (t ncb) expressed only in ctls."
102,9013956L3,9013956,"the t bop and t ncb cdnas in ctls result from alternative splicing of a single primary transcript, whereas the bop transcripts expressed in ctls and in muscle appear to be transcribed from different promoters."
103,9013956L4,9013956,the bop proteins expressed in ctls and muscle contain zinc finger like motifs with homology to those of the eto/mtg8 proto oncogene and several other proteins of interest.
104,9013956L5,9013956,western blot analysis with a hamster anti bop mab have detected the bop protein in muscle cells and in cos 7 cells transfected with bop cdna constructs.
105,19317493L0,19317493,assembling protein complexes and protein interaction networks from affinity purification based proteomics data sets remains a challenge.
106,19317493L1,19317493,"when little a priori knowledge of the complexes exists, it is difficult to place proteins in the proper locations and evaluate the results of clustering approaches."
107,19317493L2,19317493,here we have systematically compared multiple hierarchical and partitioning clustering approaches using a well characterized but highly complex human protein interaction network data set centered around the conserved aaa+ atpases tip49a and tip49b.
108,19317493L3,19317493,"this network provides a challenge to clustering algorithms because tip49a and tip49b are present in four distinct complexes, the network contains modules, and the network has multiple attachments."
109,19317493L4,19317493,"we compared the use of binary data, quantitative proteomics data in the form of normalized spectral abundance factors, and the z score normalization."
110,19317493L5,19317493,"in our analysis, a partitioning approach indicated the major modules in a network."
111,19317493L6,19317493,"next, while euclidian distance was sensitive to scaling, with data transformation, all the attachments in a data set were recovered in one branch of a dendrogram."
112,19317493L7,19317493,"finally, when pearson correlation and hierarchical clustering were used, complexes were well separated and their attachments were placed in the proper locations."
113,19317493L8,19317493,each of these three approaches provided distinct information useful for assembly of a network of multiple protein complexes.
114,1558948L0,1558948,"a full length tomato cdna clone, tsw12, which is developmentally and environmentally regulated, has been isolated and characterized."
115,1558948L1,1558948,tsw12 mrna is accumulated during tomato seed germination and its level increases after nacl treatment or heat shock.
116,1558948L2,1558948,"in mature plants, tsw12 mrna is only detected upon treatment with nacl, mannitol or aba and its expression mainly occurs in stems."
117,1558948L3,1558948,the nucleotide sequence of tsw12 includes an open reading frame coding for a basic protein of 114 amino acids; the first 23 amino acids exhibit the sequence characteristic of a signal peptide.
118,1558948L4,1558948,the high similarity between the tsw12 deduced amino acid sequence and reported lipid transfer proteins suggests that tsw12 encodes a lipid transfer protein.
119,16028633L0,16028633,there is limited information on the absorption of selenium from different foods in humans because of technical difficulties associated with isotopic labeling of dietary selenium.
120,16028633L1,16028633,"wheat, garlic, and cod fish were intrinsically labeled with se 77 or se 82 stable isotopes."
121,16028633L2,16028633,"labeled meals were fed in random order to 14 adults, with a minimum washout period of six weeks between each test meal."
122,16028633L3,16028633,apparent absorption was measured as luminal loss using a fecal monitoring technique over an 8 day period.
123,16028633L4,16028633,"plasma appearance of the isotope was measured at 7, 24, and 48 hours post ingestion."
124,16028633L5,16028633,selenium absorption (+/  sd) was significantly higher (p < 0.001) from wheat (81.0 +/  3.0%) and garlic (78.4 +/  13.7%) than from fish (56.1 +/  4.3%).
125,16028633L6,16028633,"lowest plasma concentration was observed after the fish meal at all three time points, with a peak at 24 hours, whereas wheat produced the highest plasma concentration at all three time points and peaked at 7 hours."
126,16028633L7,16028633,"selenium absorption from wheat and garlic was higher than from fish, and inter individual variation was low."
127,16028633L8,16028633,form of selenium and food constituents appear to be key determinants of post absorptive metabolism.
128,8245124L0,8245124,excitation contraction (e c) coupling is thought to involve close interactions between the calcium release channel (ryanodine receptor; ryr) of the sarcoplasmic reticulum (sr) and the dihydropyridine receptor (dhpr) alpha 1 subunit in the t tubule membrane.
129,8245124L1,8245124,"triadin, a 95 kd protein isolated from heavy sr, binds both the ryr and dhpr and may thus participate in e c coupling or in interactions responsible for the formation of sr/t tubule junctions."
130,8245124L2,8245124,immunofluorescence labeling of normal mouse myotubes shows that the ryr and triadin co aggregate with the dhpr in punctate clusters upon formation of functional junctions.
131,8245124L3,8245124,"dysgenic myotubes with a deficiency in the alpha 1 subunit of the dhpr show reduced expression and clustering of ryr and triadin; however, both proteins are still capable of forming clusters and attaining mature cross striated distributions."
132,8245124L4,8245124,"thus, the molecular organization of the ryr and triadin in the terminal cisternae of sr as well as its association with the t tubules are independent of interactions with the dhpr alpha 1 subunit."
133,8245124L5,8245124,"analysis of calcium transients in dysgenic myotubes with fluorescent calcium indicators reveals spontaneous and caffeine induced calcium release from intracellular stores similar to those of normal muscle; however, depolarization induced calcium release is absent."
134,8245124L6,8245124,"thus, characteristic calcium release properties of the ryr do not require interactions with the dhpr; neither do they require the normal organization of the ryr in the terminal sr cisternae."
135,8245124L7,8245124,"in hybrids of dysgenic myotubes fused with normal cells, both action potential induced calcium transients and the normal clustered organization of the ryr are restored in regions expressing the dhpr alpha 1 subunit."
136,568121L0,568121,extracts prepared from several lines of transformed cells were examined for the presence of cellular binding proteins specific for retinoids.
137,568121L1,568121,"extracts of human retinoblastoma cell line weri rb1 contained a cellular binding protein specific for retinoic acid, whereas extracts of human retinoblastoma cell line y 79 contained cellular binding proteins for both retinol and retinoic acid."
138,568121L2,568121,"upon purification, the latter two binding proteins proved to have properties similar to those of the corresponding proteins obtained from bovine retina."
139,568121L3,568121,smaller amounts of these binding proteins were detected in extracts of undifferentiated and differentiated neuroblastoma and mccoy cells.
140,568121L4,568121,hela and rat glioma cells had no detectable amount of binding proteins.
141,568121L5,568121,"the 11 cis retinal binding protein, present in extracts of human, rat, and bovine retina, was not found in any of the cell lines examined."
142,8223341L0,8223341,"gene regulation by steroid hormones is mediated by binding of the hormone ligand to the corresponding receptor that triggers a complex set of interactions of the hormone receptors with each other, with dna in chromatin, and with a variety of other proteins."
143,8223341L1,8223341,in this review we attempt to summarize what is known about these interactions using as the main example the regulation of mouse mammary tumor virus transcription by glucocorticoids and progestins.
144,8223341L2,8223341,"we describe in some detail the interaction of monomers and homodimers of the steroid receptors with their recognition sequences, and the molecular mechanism used to discriminate between the responsive elements for glucocorticoids/progestins and estrogens."
145,8223341L3,8223341,"we then review the interactions between homologous and heterologous hormone receptors on complex hormone regulatory regions, before devoting some attention to the synergistic and inhibitory interactions of hormone receptors with other transcription factors."
146,8223341L4,8223341,finally we briefly summarize some of the possible mechanisms that modulate the molecular interactions of hormone receptors.
147,8223341L5,8223341,"in addition to ligand binding, these include receptor phosphorylation, changes in dna topology, and the organization of dna in nucleosomes."
148,8223341L6,8223341,from this overview we draw the tentative conclusion that the specificity of the hormonal response in different cells results from a combination of developmental restrictions both in the accessibility of genomic sequence and in the repertoire of regulatory proteins present in each particular cell.
149,8223341L7,8223341,"in addition, the array of regulatory sequences in dna and chromatin determines the precise nature of macromolecular interactions of the receptors that are modulated by their degree of phosphorylation."
150,10865835L0,10865835,the process of plaque destabilization and rupture remains an area of intense investigation.
151,10865835L1,10865835,"while reductions in lumen cross sectional area induced by early, non occlusive lesions are compensated by remodeling and expansion of the artery, further plaque enlargement leads to an uncompensated reduction in lumen area and an increase in surface shearing forces."
152,10865835L2,10865835,we hypothesize that these local increases in wall shear stress lead to a reduction in smooth muscle cell proliferation and increase in cell death.
153,10865835L3,10865835,"using a primate prosthetic graft model, we have observed that alterations in nitric oxide and platelet derived growth factor metabolism are important regulators of intimal growth and regression."
154,10865835L4,10865835,we suggest that these factors may also be influential in the process of fibrous cap atrophy and plaque rupture.
155,2772621L0,2772621,"flameless as well as flame atomic absorption spectrophotometry were used for the analysis of six elements (calcium, iron, zinc, selenium, cadmium and mercury) in human organs (liver, kidney cortex and medulla, heart, pancreas and spleen) from 13 bodies from bergen and 10 from the faroe islands."
156,2772621L1,2772621,samples were taken at autopsy and the organs selected were without pathological signs.
157,2772621L2,2772621,"all patients were born between 1899 and 1923. element concentrations in the organs studied were comparable to previous studies, except for high mercury and selenium values in the liver, the kidney cortex and medulla of subjects from the faroe islands."
158,2772621L3,2772621,the high mercury and selenium values may be explained by the high consumption of pilot whales by the faroe islands population.
159,20923416L0,20923416,increases in the environmental osmolarity are key determinants for the growth of microorganisms.
160,20923416L1,20923416,"to ensure a physiologically acceptable level of cellular hydration and turgor at high osmolarity, many bacteria accumulate compatible solutes."
161,20923416L2,20923416,osmotically controlled uptake systems allow the scavenging of these compounds from scarce environmental sources as effective osmoprotectants.
162,20923416L3,20923416,"a number of these systems belong to the bcct family (betaine choline carnitine transporter), sodium  or proton coupled transporters (e.g."
163,20923416L4,20923416,betp and bett respectively) that are ubiquitous in microorganisms.
164,20923416L5,20923416,"the bcct family also contains cait, an l carnitine/γ butyrobetaine antiporter that is not involved in osmotic stress responses."
165,20923416L6,20923416,the glycine betaine transporter betp from corynebacterium glutamicum is a representative for osmoregulated symporters of the bcct family and functions both as an osmosensor and osmoregulator.
166,20923416L7,20923416,the crystal structure of betp in an occluded conformation in complex with its substrate glycine betaine and two crystal structures of cait in an inward facing open conformation in complex with l carnitine and γ butyrobetaine were reported recently.
167,20923416L8,20923416,these structures and the wealth of biochemical data on the activity control of betp in response to osmotic stress enable a correlation between the sensing of osmotic stress by a transporter protein with the ensuing regulation of transport activity.
168,20923416L9,20923416,"molecular determinants governing the high affinity binding of the compatible solutes by betp and cait, the coupling in symporters and antiporters, and the osmoregulatory properties are discussed in detail for betp and various bcct carriers."
169,11568460L0,11568460,"glutathione peroxidase (gpx 1) is a selenoenzyme that metabolizes h(2)o(2), a source of potentially toxic free radicals."
170,11568460L1,11568460,steroidogenesis is markedly inhibited by h(2)o(2) in vitro.
171,11568460L2,11568460,to study the effects of selenium deficiency on gpx activity and adrenal steroidogenesis in a novel adrenal cell line developed using targeted tumorigenesis.
172,11568460L3,11568460,an4rppc7 cells were grown for 7 days in serum free medium.
173,11568460L4,11568460,8 br camp stimulated concentrations of steroid hormones were measured by ria.
174,11568460L5,11568460,star (steroid acute reactive protein) mrna was measured by northern blot.
175,11568460L6,11568460,"selenium deficiency caused a 99% there was a 51%, progesterone, corticosterone and aldosterone production, respectively (p<0.05 by anova)."
176,11568460L7,11568460,star mrna was not affected by selenium.
177,11568460L8,11568460,selenium deficiency causes a marked decrease in gpx activity.
178,11568460L9,11568460,decreased steroid hormone production occurs for selenium concentrations equal or lower than 5 nm.
179,11568460L10,11568460,the absence of changes in star mrna content suggests that selenium deficiency does not affect cholesterol access to the mitochondria.
180,24650148L0,24650148,shewanella oneidensis is an important model organism for its versatility of anaerobic respiration.
181,24650148L1,24650148,"cyma, a cytoplasmic membrane bound tetraheme c type cytochrome, plays a central role in anaerobic respiration by transferring electrons from the quinone pool to a variety of terminal reductases."
182,24650148L2,24650148,"although loss of cyma results in defect in respiration of many electron acceptors (eas), a significant share of the capacity remains in general."
183,24650148L3,24650148,"in this study, we adopted a transposon random mutagenesis method in a cyma null mutant to identify substituent(s) of cyma with respect to nitrite and nitrate respiration."
184,24650148L4,24650148,"a total of 87 insertion mutants, whose ability to reduce nitrite was further impaired, were obtained."
185,24650148L5,24650148,"among the interrupted genes, the petabc operon appeared to be the most likely candidate given the involvement of the cytochrome bc1 complex that it encodes in electron transport."
186,24650148L6,24650148,subsequent analyses not only confirmed that the complex and cyma were indeed functionally overlapping in nitrate/nitrite respiration but also revealed that both proteins were able to draw electrons from ubiquinone and menaquinone.
187,24650148L7,24650148,"furthermore, we found that expression of the bc1 complex was affected by oxygen but not nitrate or nitrite and by global regulators arca and crp in an indirect manner."
188,25926381L0,25926381,"we aimed to evaluate the role of glucose 6 phosphatase, catalytic subunit (g6pc) in ovarian cancer and to exploit its therapeutic potential."
189,25926381L1,25926381,"with reproduction of the cancer genome atlas (tcga) database, we studied expressions of genes in the glucose metabolism pathways in silico."
190,25926381L2,25926381,"the cbioportal for cancer genomics was used to study the clinical, pathological and molecular profiles of g6pc."
191,25926381L3,25926381,in vitro studies were performed to validate the function of g6pc and the effect of genetic and pharmaceutical g6pc inhibition.
192,25926381L4,25926381,"in 158 ovarian cancer (ovca) patients with complete rna seq data, g6pc expression was increased in 27 patients (17 %)."
193,25926381L5,25926381,both overall survival (os) and disease free period were significantly shorter in cases with increased g6pc level.
194,25926381L6,25926381,significantly decreased total and phosphorylated cdkn1b level was noted in ovca with increased g6pc expression.
195,25926381L7,25926381,"silenced g6pc in ovca cells induced decreased cell proliferation, viability, invasiveness and anchorage independent cell growth."
196,25926381L8,25926381,g6pc silencing also induced enhanced cell cycle control proteins and restoration of cdkn1b level.
197,25926381L9,25926381,pharmaceutical inhibition of g6pc with specific compound showed similar effects to genetic silencing.
198,25926381L10,25926381,"g6pc played dual roles both in glucose metabolism and cell cycle control in ovca, which potentiated it a promising therapeutic target."
199,22576364L0,22576364,"d 002, a mixture of higher aliphatic beeswax alcohols, produces gastroprotective and antioxidant effects."
200,22576364L1,22576364,"to investigate the gastroprotective effect of d 002 against indomethacin induced ulcers, oxidative variables and myeloperoxidase (mpo) activity in the rat gastric mucosa were examined."
201,22576364L2,22576364,"rats were randomized into six groups: a negative vehicle control and five indomethacin (50 mg/kg) treated groups, comprising a positive control, three groups treated orally with d 002 (5, 25 and 100 mg/kg) and one group with omeprazole 20 mg/kg intraperitoneally (ip)."
202,22576364L3,22576364,"the contents of malondialdehyde (mda), protein carbonyl groups (pcg), hydroxyl radical generation and catalase (cat), glutathione peroxidase (gsh px), superoxide dismutase (sod) and mpo enzyme activities in the rat gastric mucosa were assessed."
203,22576364L4,22576364,"indomethacin increased the content of mda and pcg, the generation of *oh radical and mpo enzyme activity, while it decreased the cat, gsh px and sod activities as compared to the negative controls."
204,22576364L5,22576364,d 002 (5 100 mg/kg) significantly and dose dependently reduced indomethacin induced ulceration to 75 %.
205,22576364L6,22576364,"also, d 002 decreased the content of mda and pcg, the generation of hydroxyl radicals and mpo activity as compared to the positive controls."
206,22576364L7,22576364,"the highest dose of d 002 (100 mg/kg) increased significantly gsh px and sod activities, while all doses used increased cat activities."
207,22576364L8,22576364,"omeprazole 20 mg/kg, the reference drug, reduced significantly the ulcers (93 %), mda and pcg, the generation of hydroxyl radicals and mpo activity, and increased the cat, gsh px and sod activities."
208,22576364L9,22576364,"d 002 treatment produced gastroprotective effects against indomethacin induced gastric ulceration, which can be related to the reduction of hydroxyl radical generation, lipid peroxidation, protein oxidation and mpo activity, and to the increase of the antioxidant enzymes activities in the rat gastric mucosa."
209,21151025L0,21151025,"ultraviolet (uv) radiation induced dna damage evokes a complex network of molecular responses, which culminate in dna repair, cell cycle arrest and apoptosis."
210,21151025L1,21151025,"here, we provide an in depth characterization of the molecular pathway that mediates uv c induced apoptosis of meiotic germ cells in the nematode caenorhabditis elegans."
211,21151025L2,21151025,we show that uv c induced dna lesions are not directly pro apoptotic.
212,21151025L3,21151025,"rather, they must first be recognized and processed by the nucleotide excision repair (ner) pathway."
