,abstract,date,pmid,title
10,"polymorphonuclear leukocytes and other inflammatory cells on exposure to appropriate stimuli release superoxide anion radical into the extracellular space. this results in the further generation of other activated oxygen species such as hydrogen peroxide, hydroxyl radical and singlet oxygen. we have assessed the influence of activated oxygen species, generated by substrate xanthine oxidase systems, on the degradation of hyaluronic acid, human glial cells in culture and the microcirculation of the hamster cheek pouch. hyaluronic acid degradation was observed and morphological changes, culminating in cell death, were seen in glial cells. increased microvascular permeability and increased polymorphonuclear leukocyte endothelial adhesion were also observed. the results suggest that a variety of alterations to macromolecular and cellular elements of tissues can be mediated by specific free radical species. similar mechanisms may play a role in the structural and cellular injury occurring in the microcirculation during inflammation and other disease processes.",1980,6261530,Free radicals as mediators of tissue injury.
11,,1995,7774006,Signal transduction and membrane traffic: the PITP/phosphoinositide connection.
12,"osteogenesis imperfecta (oi) is a group of hereditary disorders characterized by decreased bone mass and increased fracture risk. the majority of oi cases have an autosomal dominant pattern of inheritance and are usually caused by mutations in genes encoding type i collagen. oi cases of autosomal recessive inheritance are rare, and oi type xi is attributable to mutation of the fkbp10 gene. here, we used next generation sequencing and sanger sequencing to detect mutations in fkbp10 and to analyze their relation to the phenotypes of oi type xi in three chinese patients. we also evaluated the efficacy of zoledronic acid treatment in these patients. two of the affected patients had novel compound heterozygous mutations, one patient with c.343c>t (p.r115x) in exon 2 and c.1085delc (p.a362fsx1) in exon 7, and the other patient with c.879c>g (p.y293x) in exon 5 and c.918 3c>g in intron 5. in the third proband, we identified a homozygous single base pair duplication, c.831dupc (p.g278rfsx95) in exon 5. in conclusion, we report for the first time that these novel pathogenic mutations of fkbp10 can lead to the extremely rare type xi oi without contractures, which expands the genotypic spectrum of oi. the phenotypes of these patients are similar to patients with types iii or iv oi, and zoledronic acid is effective in increasing bmd, inhibiting bone resorption biomarkers and reducing fractures of these patients.",2017,27762305,Novel mutations in FKBP10 in Chinese patients with osteogenesis imperfecta and their treatment with zoledronic acid.
13,,1973,4518624,Glutathione peroxidase in human red cells in health and disease.
14,"one of the microsomal carboxyesterases, carboxyesterase e1, was purified from rat liver to homogeneity. carboxyesterase e1 is a glycoprotein of high mannose type, and is composed of three identical subunits of 59 kda each. it is very similar to ""esterase pi 6.0"" described by menthein et al. (arch. biochem. biophys. 200, 547 559 (1980)) in molecular weight, amino acid composition, and enzymic activities. carboxyesterase e1 was found to be evenly distributed between rough and smooth microsomes. the content of the enzyme in microsomes was about 1.5% of total microsomal protein. it was exclusively located on the luminal side of microsomes, and was not detected immunologically in golgi fractions or serum. in vitro translation of rat liver rna by reticulocyte lysate showed that carboxyesterase e1 was synthesized preferentially on the bound ribosomes, as a precursor peptide larger than the peptide of the mature enzyme. carboxyesterase e1 was solubilized from microsomes by treatment with low concentrations of detergents. however, it was not released from microsomes by treatment with a synthetic peptide which made the microsomal membrane permeable to soluble protein molecules. carboxyesterase e1 is not a soluble luminal protein, and seems to be bound to the luminal surface of the membrane.",1988,3360755,Biosynthesis and localization of rat liver microsomal carboxyesterase E1.
15,"the bop gene (for cd8b opposite) is located immediately upstream of the mouse cd8b gene. expression of bop gene transcripts was previously observed in several long term ctl lines and in thymus. the present studies demonstrate that expression of the bop gene in lymphocytes appears to be confined to cd8 positive cells, and that bop gene expression is inducible by con a. they further show that a single bop gene encodes protein products with distinct amino terminal sequences that are expressed in ctls (t bop) and in cardiac and skeletal muscle (skm bop), as well as what appears to be a noncoding cdna (t ncb) expressed only in ctls. the t bop and t ncb cdnas in ctls result from alternative splicing of a single primary transcript, whereas the bop transcripts expressed in ctls and in muscle appear to be transcribed from different promoters. the bop proteins expressed in ctls and muscle contain zinc finger like motifs with homology to those of the eto/mtg8 proto oncogene and several other proteins of interest. western blot analysis with a hamster anti bop mab have detected the bop protein in muscle cells and in cos 7 cells transfected with bop cdna constructs.",1997,9013956,The Bop gene adjacent to the mouse CD8b gene encodes distinct zinc-finger proteins expressed in CTLs and in muscle.
16,,2012,22914575,MYB46-mediated transcriptional regulation of secondary wall biosynthesis.
17,"assembling protein complexes and protein interaction networks from affinity purification based proteomics data sets remains a challenge. when little a priori knowledge of the complexes exists, it is difficult to place proteins in the proper locations and evaluate the results of clustering approaches. here we have systematically compared multiple hierarchical and partitioning clustering approaches using a well characterized but highly complex human protein interaction network data set centered around the conserved aaa+ atpases tip49a and tip49b. this network provides a challenge to clustering algorithms because tip49a and tip49b are present in four distinct complexes, the network contains modules, and the network has multiple attachments. we compared the use of binary data, quantitative proteomics data in the form of normalized spectral abundance factors, and the z score normalization. in our analysis, a partitioning approach indicated the major modules in a network. next, while euclidian distance was sensitive to scaling, with data transformation, all the attachments in a data set were recovered in one branch of a dendrogram. finally, when pearson correlation and hierarchical clustering were used, complexes were well separated and their attachments were placed in the proper locations. each of these three approaches provided distinct information useful for assembly of a network of multiple protein complexes.",2009,19317493,Evaluation of clustering algorithms for protein complex and protein interaction network assembly.
18,"a full length tomato cdna clone, tsw12, which is developmentally and environmentally regulated, has been isolated and characterized. tsw12 mrna is accumulated during tomato seed germination and its level increases after nacl treatment or heat shock. in mature plants, tsw12 mrna is only detected upon treatment with nacl, mannitol or aba and its expression mainly occurs in stems. the nucleotide sequence of tsw12 includes an open reading frame coding for a basic protein of 114 amino acids; the first 23 amino acids exhibit the sequence characteristic of a signal peptide. the high similarity between the tsw12 deduced amino acid sequence and reported lipid transfer proteins suggests that tsw12 encodes a lipid transfer protein.",1992,1558948,A probable lipid transfer protein gene is induced by NaCl in stems of tomato plants.
19,"there is limited information on the absorption of selenium from different foods in humans because of technical difficulties associated with isotopic labeling of dietary selenium. wheat, garlic, and cod fish were intrinsically labeled with se 77 or se 82 stable isotopes. labeled meals were fed in random order to 14 adults, with a minimum washout period of six weeks between each test meal. apparent absorption was measured as luminal loss using a fecal monitoring technique over an 8 day period. plasma appearance of the isotope was measured at 7, 24, and 48 hours post ingestion. selenium absorption (+/  sd) was significantly higher (p < 0.001) from wheat (81.0 +/  3.0%) and garlic (78.4 +/  13.7%) than from fish (56.1 +/  4.3%). lowest plasma concentration was observed after the fish meal at all three time points, with a peak at 24 hours, whereas wheat produced the highest plasma concentration at all three time points and peaked at 7 hours. selenium absorption from wheat and garlic was higher than from fish, and inter individual variation was low. form of selenium and food constituents appear to be key determinants of post absorptive metabolism.",2005,16028633,"Absorption of selenium from wheat, garlic, and cod intrinsically labeled with Se-77 and Se-82 stable isotopes."
20,"excitation contraction (e c) coupling is thought to involve close interactions between the calcium release channel (ryanodine receptor; ryr) of the sarcoplasmic reticulum (sr) and the dihydropyridine receptor (dhpr) alpha 1 subunit in the t tubule membrane. triadin, a 95 kd protein isolated from heavy sr, binds both the ryr and dhpr and may thus participate in e c coupling or in interactions responsible for the formation of sr/t tubule junctions. immunofluorescence labeling of normal mouse myotubes shows that the ryr and triadin co aggregate with the dhpr in punctate clusters upon formation of functional junctions. dysgenic myotubes with a deficiency in the alpha 1 subunit of the dhpr show reduced expression and clustering of ryr and triadin; however, both proteins are still capable of forming clusters and attaining mature cross striated distributions. thus, the molecular organization of the ryr and triadin in the terminal cisternae of sr as well as its association with the t tubules are independent of interactions with the dhpr alpha 1 subunit. analysis of calcium transients in dysgenic myotubes with fluorescent calcium indicators reveals spontaneous and caffeine induced calcium release from intracellular stores similar to those of normal muscle; however, depolarization induced calcium release is absent. thus, characteristic calcium release properties of the ryr do not require interactions with the dhpr; neither do they require the normal organization of the ryr in the terminal sr cisternae. in hybrids of dysgenic myotubes fused with normal cells, both action potential induced calcium transients and the normal clustered organization of the ryr are restored in regions expressing the dhpr alpha 1 subunit.",1993,8245124,Triad formation: organization and function of the sarcoplasmic reticulum calcium release channel and triadin in normal and dysgenic muscle in vitro.
21,"extracts prepared from several lines of transformed cells were examined for the presence of cellular binding proteins specific for retinoids. extracts of human retinoblastoma cell line weri rb1 contained a cellular binding protein specific for retinoic acid, whereas extracts of human retinoblastoma cell line y 79 contained cellular binding proteins for both retinol and retinoic acid. upon purification, the latter two binding proteins proved to have properties similar to those of the corresponding proteins obtained from bovine retina. smaller amounts of these binding proteins were detected in extracts of undifferentiated and differentiated neuroblastoma and mccoy cells. hela and rat glioma cells had no detectable amount of binding proteins. the 11 cis retinal binding protein, present in extracts of human, rat, and bovine retina, was not found in any of the cell lines examined.",1978,568121,Cellular retinol- and retinoic acid-binding proteins in transformed mammalian cells.
22,,1961,13753903,The equilibrium constant of the dihydroorotic dehydrogenase reaction.
23,,1968,4297585,"Sex-dependent vascular changes in young, adult, aged, and hypertensive rats."
24,"gene regulation by steroid hormones is mediated by binding of the hormone ligand to the corresponding receptor that triggers a complex set of interactions of the hormone receptors with each other, with dna in chromatin, and with a variety of other proteins. in this review we attempt to summarize what is known about these interactions using as the main example the regulation of mouse mammary tumor virus transcription by glucocorticoids and progestins. we describe in some detail the interaction of monomers and homodimers of the steroid receptors with their recognition sequences, and the molecular mechanism used to discriminate between the responsive elements for glucocorticoids/progestins and estrogens. we then review the interactions between homologous and heterologous hormone receptors on complex hormone regulatory regions, before devoting some attention to the synergistic and inhibitory interactions of hormone receptors with other transcription factors. finally we briefly summarize some of the possible mechanisms that modulate the molecular interactions of hormone receptors. in addition to ligand binding, these include receptor phosphorylation, changes in dna topology, and the organization of dna in nucleosomes. from this overview we draw the tentative conclusion that the specificity of the hormonal response in different cells results from a combination of developmental restrictions both in the accessibility of genomic sequence and in the repertoire of regulatory proteins present in each particular cell. in addition, the array of regulatory sequences in dna and chromatin determines the precise nature of macromolecular interactions of the receptors that are modulated by their degree of phosphorylation.",1993,8223341,Steroid hormone receptors: interaction with deoxyribonucleic acid and transcription factors.
25,"the process of plaque destabilization and rupture remains an area of intense investigation. while reductions in lumen cross sectional area induced by early, non occlusive lesions are compensated by remodeling and expansion of the artery, further plaque enlargement leads to an uncompensated reduction in lumen area and an increase in surface shearing forces. we hypothesize that these local increases in wall shear stress lead to a reduction in smooth muscle cell proliferation and increase in cell death. using a primate prosthetic graft model, we have observed that alterations in nitric oxide and platelet derived growth factor metabolism are important regulators of intimal growth and regression. we suggest that these factors may also be influential in the process of fibrous cap atrophy and plaque rupture.",2000,10865835,Mechanisms of vascular atrophy and fibrous cap disruption.
26,"flameless as well as flame atomic absorption spectrophotometry were used for the analysis of six elements (calcium, iron, zinc, selenium, cadmium and mercury) in human organs (liver, kidney cortex and medulla, heart, pancreas and spleen) from 13 bodies from bergen and 10 from the faroe islands. samples were taken at autopsy and the organs selected were without pathological signs. all patients were born between 1899 and 1923. element concentrations in the organs studied were comparable to previous studies, except for high mercury and selenium values in the liver, the kidney cortex and medulla of subjects from the faroe islands. the high mercury and selenium values may be explained by the high consumption of pilot whales by the faroe islands population.",1989,2772621,Trace elements intake in the Faroe Islands. III. Element concentrations in human organs in populations from Bergen (Norway) and the Faroe Islands.
27,"increases in the environmental osmolarity are key determinants for the growth of microorganisms. to ensure a physiologically acceptable level of cellular hydration and turgor at high osmolarity, many bacteria accumulate compatible solutes. osmotically controlled uptake systems allow the scavenging of these compounds from scarce environmental sources as effective osmoprotectants. a number of these systems belong to the bcct family (betaine choline carnitine transporter), sodium  or proton coupled transporters (e.g. betp and bett respectively) that are ubiquitous in microorganisms. the bcct family also contains cait, an l carnitine/γ butyrobetaine antiporter that is not involved in osmotic stress responses. the glycine betaine transporter betp from corynebacterium glutamicum is a representative for osmoregulated symporters of the bcct family and functions both as an osmosensor and osmoregulator. the crystal structure of betp in an occluded conformation in complex with its substrate glycine betaine and two crystal structures of cait in an inward facing open conformation in complex with l carnitine and γ butyrobetaine were reported recently. these structures and the wealth of biochemical data on the activity control of betp in response to osmotic stress enable a correlation between the sensing of osmotic stress by a transporter protein with the ensuing regulation of transport activity. molecular determinants governing the high affinity binding of the compatible solutes by betp and cait, the coupling in symporters and antiporters, and the osmoregulatory properties are discussed in detail for betp and various bcct carriers.",2010,20923416,The BCCT family of carriers: from physiology to crystal structure.
28,"glutathione peroxidase (gpx 1) is a selenoenzyme that metabolizes h(2)o(2), a source of potentially toxic free radicals. steroidogenesis is markedly inhibited by h(2)o(2) in vitro.
to study the effects of selenium deficiency on gpx activity and adrenal steroidogenesis in a novel adrenal cell line developed using targeted tumorigenesis.
an4rppc7 cells were grown for 7 days in serum free medium. 8 br camp stimulated concentrations of steroid hormones were measured by ria. star (steroid acute reactive protein) mrna was measured by northern blot.
selenium deficiency caused a 99% there was a 51%, progesterone, corticosterone and aldosterone production, respectively (p<0.05 by anova). star mrna was not affected by selenium.
selenium deficiency causes a marked decrease in gpx activity. decreased steroid hormone production occurs for selenium concentrations equal or lower than 5 nm. the absence of changes in star mrna content suggests that selenium deficiency does not affect cholesterol access to the mitochondria.",2001,11568460,Modulation of steroidogenesis by selenium in a novel adrenal cell line developed using targeted tumorigenesis.
29,,2009,19714777,"Crystal structure of TTHA0807, a CcpA regulator, from Thermus thermophilus HB8."
30,,1972,4569726,The flow of model particles and blood cells and its relation to thrombogenesis.
31,"shewanella oneidensis is an important model organism for its versatility of anaerobic respiration. cyma, a cytoplasmic membrane bound tetraheme c type cytochrome, plays a central role in anaerobic respiration by transferring electrons from the quinone pool to a variety of terminal reductases. although loss of cyma results in defect in respiration of many electron acceptors (eas), a significant share of the capacity remains in general. in this study, we adopted a transposon random mutagenesis method in a cyma null mutant to identify substituent(s) of cyma with respect to nitrite and nitrate respiration. a total of 87 insertion mutants, whose ability to reduce nitrite was further impaired, were obtained. among the interrupted genes, the petabc operon appeared to be the most likely candidate given the involvement of the cytochrome bc1 complex that it encodes in electron transport. subsequent analyses not only confirmed that the complex and cyma were indeed functionally overlapping in nitrate/nitrite respiration but also revealed that both proteins were able to draw electrons from ubiquinone and menaquinone. furthermore, we found that expression of the bc1 complex was affected by oxygen but not nitrate or nitrite and by global regulators arca and crp in an indirect manner.",2014,24650148,Evidence for function overlapping of CymA and the cytochrome bc1 complex in the Shewanella oneidensis nitrate and nitrite respiration.
32,"we aimed to evaluate the role of glucose 6 phosphatase, catalytic subunit (g6pc) in ovarian cancer and to exploit its therapeutic potential. with reproduction of the cancer genome atlas (tcga) database, we studied expressions of genes in the glucose metabolism pathways in silico. the cbioportal for cancer genomics was used to study the clinical, pathological and molecular profiles of g6pc. in vitro studies were performed to validate the function of g6pc and the effect of genetic and pharmaceutical g6pc inhibition. in 158 ovarian cancer (ovca) patients with complete rna seq data, g6pc expression was increased in 27 patients (17 %). both overall survival (os) and disease free period were significantly shorter in cases with increased g6pc level. significantly decreased total and phosphorylated cdkn1b level was noted in ovca with increased g6pc expression. silenced g6pc in ovca cells induced decreased cell proliferation, viability, invasiveness and anchorage independent cell growth. g6pc silencing also induced enhanced cell cycle control proteins and restoration of cdkn1b level. pharmaceutical inhibition of g6pc with specific compound showed similar effects to genetic silencing. g6pc played dual roles both in glucose metabolism and cell cycle control in ovca, which potentiated it a promising therapeutic target.",2015,25926381,Genetic and molecular analyses reveal G6PC as a key element connecting glucose metabolism and cell cycle control in ovarian cancer.
33,"d 002, a mixture of higher aliphatic beeswax alcohols, produces gastroprotective and antioxidant effects. to investigate the gastroprotective effect of d 002 against indomethacin induced ulcers, oxidative variables and myeloperoxidase (mpo) activity in the rat gastric mucosa were examined. rats were randomized into six groups: a negative vehicle control and five indomethacin (50 mg/kg) treated groups, comprising a positive control, three groups treated orally with d 002 (5, 25 and 100 mg/kg) and one group with omeprazole 20 mg/kg intraperitoneally (ip). the contents of malondialdehyde (mda), protein carbonyl groups (pcg), hydroxyl radical generation and catalase (cat), glutathione peroxidase (gsh px), superoxide dismutase (sod) and mpo enzyme activities in the rat gastric mucosa were assessed. indomethacin increased the content of mda and pcg, the generation of *oh radical and mpo enzyme activity, while it decreased the cat, gsh px and sod activities as compared to the negative controls. d 002 (5 100 mg/kg) significantly and dose dependently reduced indomethacin induced ulceration to 75 %. also, d 002 decreased the content of mda and pcg, the generation of hydroxyl radicals and mpo activity as compared to the positive controls. the highest dose of d 002 (100 mg/kg) increased significantly gsh px and sod activities, while all doses used increased cat activities. omeprazole 20 mg/kg, the reference drug, reduced significantly the ulcers (93 %), mda and pcg, the generation of hydroxyl radicals and mpo activity, and increased the cat, gsh px and sod activities. d 002 treatment produced gastroprotective effects against indomethacin induced gastric ulceration, which can be related to the reduction of hydroxyl radical generation, lipid peroxidation, protein oxidation and mpo activity, and to the increase of the antioxidant enzymes activities in the rat gastric mucosa.",2013,22576364,"Protective effect of D-002, a mixture of beeswax alcohols, against indomethacin-induced gastric ulcers and mechanism of action."
34,"ultraviolet (uv) radiation induced dna damage evokes a complex network of molecular responses, which culminate in dna repair, cell cycle arrest and apoptosis. here, we provide an in depth characterization of the molecular pathway that mediates uv c induced apoptosis of meiotic germ cells in the nematode caenorhabditis elegans. we show that uv c induced dna lesions are not directly pro apoptotic. rather, they must first be recognized and processed by the nucleotide excision repair (ner) pathway. our data suggest that ner pathway activity transforms some of these lesions into other types of dna damage, which in turn are recognized and acted upon by the homologous recombination (hr) pathway. hr pathway activity is in turn required for the recruitment of the c. elegans homolog of the yeast rad9 hus1 rad1 (9 1 1) complex and activation of downstream checkpoint kinases. blocking either the ner or hr pathway abrogates checkpoint pathway activation and uv c induced apoptosis. our results show that, following uv c, multiple dna repair pathways can cooperate to signal to the apoptotic machinery to eliminate potentially hazardous cells.",2011,21151025,NER and HR pathways act sequentially to promote UV-C-induced germ cell apoptosis in Caenorhabditis elegans.
35,,2013,23582105,[Personalized nutrition: has time for action come?].
36,"control elements of many genes are regulated by multiple activators working in concert to confer the maximal level of expression, but the mechanism of such synergy is not completely understood. the promoter of the human macrophage colony stimulating factor (m csf) receptor presents an excellent model with which we can study synergistic, tissue specific activation for two reasons. first, myeloid specific expression of the m csf receptor is regulated transcriptionally by three factors which are crucial for normal hematopoiesis: pu.1, aml1, and c/ebpalpha. second, these proteins interact in such a way as to demonstrate at least two examples of synergistic activation. we have shown that aml1 and c/ebpalpha activate the m csf receptor promoter in a synergistic manner. as we report here, aml1 also synergizes, and interacts physically, with pu. 1. detailed analysis of the physical and functional interaction of aml1 with pu.1 and c/ebpalpha has revealed that the proteins contact one another through their dna binding domains and that aml1 exhibits cooperative dna binding with c/ebpalpha but not with pu.1. this difference in dna binding abilities may explain, in part, the differences observed in synergistic activation. furthermore, the activation domains of all three factors are required for synergistic activation, and the region of aml1 required for synergy with pu.1 is distinct from that required for synergy with c/ebpalpha. these observations present the possibility that synergistic activation is mediated by secondary proteins contacted through the activation domains of aml1, c/ebpalpha, and pu.1.",1998,9632776,Multiple functional domains of AML1: PU.1 and C/EBPalpha synergize with different regions of AML1.
