,source,target
162,24650148L6,24650148L5
163,24650148L7,24650148L6
164,25926381L1,25926381L0
165,25926381L2,25926381L1
166,25926381L3,25926381L2
167,25926381L4,25926381L3
168,25926381L5,25926381L4
169,25926381L6,25926381L5
170,25926381L7,25926381L6
171,25926381L8,25926381L7
172,25926381L9,25926381L8
173,25926381L10,25926381L9
174,22576364L1,22576364L0
175,22576364L2,22576364L1
176,22576364L3,22576364L2
177,22576364L4,22576364L3
178,22576364L5,22576364L4
179,22576364L6,22576364L5
180,22576364L7,22576364L6
181,22576364L8,22576364L7
182,22576364L9,22576364L8
183,21151025L1,21151025L0
184,21151025L2,21151025L1
185,21151025L3,21151025L2
186,21151025L4,21151025L3
187,21151025L5,21151025L4
188,21151025L6,21151025L5
189,21151025L7,21151025L6
190,9632776L1,9632776L0
191,9632776L2,9632776L1
192,9632776L3,9632776L2
193,9632776L4,9632776L3
194,9632776L5,9632776L4
195,9632776L6,9632776L5
196,9632776L7,9632776L6
197,9632776L8,9632776L7
198,9632776L9,9632776L8
199,22747111L1,22747111L0
200,22747111L2,22747111L1
201,22747111L3,22747111L2
202,22747111L4,22747111L3
203,22747111L5,22747111L4
204,22747111L6,22747111L5
205,22747111L7,22747111L6
206,22747111L8,22747111L7
207,20160844L1,20160844L0
208,20160844L2,20160844L1
209,20160844L3,20160844L2
210,20160844L4,20160844L3
211,20160844L5,20160844L4
212,20160844L6,20160844L5
213,4066072L1,4066072L0
214,4066072L2,4066072L1
215,4066072L3,4066072L2
216,4066072L4,4066072L3
217,4066072L5,4066072L4
218,4066072L6,4066072L5
219,4066072L7,4066072L6
220,4066072L8,4066072L7
221,12429948L1,12429948L0
222,12429948L2,12429948L1
223,12429948L3,12429948L2
224,12429948L4,12429948L3
225,12429948L5,12429948L4
226,12429948L6,12429948L5
227,12429948L7,12429948L6
228,12429948L8,12429948L7
229,12429948L9,12429948L8
230,14521879L1,14521879L0
231,14521879L2,14521879L1
232,14521879L3,14521879L2
233,14521879L4,14521879L3
234,14521879L5,14521879L4
235,14521879L6,14521879L5
236,14521879L7,14521879L6
237,14521879L8,14521879L7
238,831285L1,831285L0
239,831285L2,831285L1
240,831285L3,831285L2
241,831285L4,831285L3
242,831285L5,831285L4
243,831285L6,831285L5
244,11572476L1,11572476L0
245,11572476L2,11572476L1
246,11572476L3,11572476L2
247,11572476L4,11572476L3
248,11572476L5,11572476L4
249,11572476L6,11572476L5
250,11572476L7,11572476L6
251,28689712L1,28689712L0
252,28689712L2,28689712L1
253,28689712L3,28689712L2
254,28689712L4,28689712L3
255,28689712L5,28689712L4
256,28689712L6,28689712L5
257,28689712L7,28689712L6
258,28689712L8,28689712L7
259,28689712L9,28689712L8
260,28689712L10,28689712L9
261,28689712L11,28689712L10
262,17498495L1,17498495L0
263,17498495L2,17498495L1
264,17498495L3,17498495L2
265,17498495L4,17498495L3
266,17498495L5,17498495L4
267,17498495L6,17498495L5
268,11069581L1,11069581L0
269,11069581L2,11069581L1
270,11069581L3,11069581L2
271,11069581L4,11069581L3
272,11069581L5,11069581L4
273,11069581L6,11069581L5
274,11069581L7,11069581L6
275,11069581L8,11069581L7
276,1009141L1,1009141L0
277,1009141L2,1009141L1
278,1009141L3,1009141L2
279,1009141L4,1009141L3
280,12021098L1,12021098L0
281,12021098L2,12021098L1
282,12021098L3,12021098L2
283,12021098L4,12021098L3
284,12021098L5,12021098L4
285,27126361L1,27126361L0
286,27126361L2,27126361L1
287,27126361L3,27126361L2
288,27126361L4,27126361L3
289,27126361L5,27126361L4
290,27126361L6,27126361L5
291,27126361L7,27126361L6
292,12584609L1,12584609L0
293,12584609L2,12584609L1
294,12584609L3,12584609L2
295,12584609L4,12584609L3
296,12584609L5,12584609L4
297,12584609L6,12584609L5
298,12584609L7,12584609L6
299,7968438L1,7968438L0
300,7968438L2,7968438L1
301,10613343L1,10613343L0
302,10613343L2,10613343L1
303,10613343L3,10613343L2
304,10613343L4,10613343L3
305,10613343L5,10613343L4
306,10613343L6,10613343L5
307,10613343L7,10613343L6
308,10613343L8,10613343L7
309,10613343L9,10613343L8
310,10613343L10,10613343L9
311,16632639L1,16632639L0
312,16632639L2,16632639L1
313,16632639L3,16632639L2
314,16632639L4,16632639L3
315,16632639L5,16632639L4
316,16632639L6,16632639L5
317,16632639L7,16632639L6
318,16632639L8,16632639L7
319,16632639L9,16632639L8
320,16632639L10,16632639L9
321,16632639L11,16632639L10
322,16632639L12,16632639L11
323,16632639L13,16632639L12
324,17531817L1,17531817L0
325,17531817L2,17531817L1
326,17531817L3,17531817L2
327,17531817L4,17531817L3
328,17531817L5,17531817L4
329,28122617L1,28122617L0
330,29183737L1,29183737L0
331,29183737L2,29183737L1
332,29183737L3,29183737L2
333,29183737L4,29183737L3
334,29183737L5,29183737L4
335,29183737L6,29183737L5
336,29183737L7,29183737L6
337,29183737L8,29183737L7
338,18087724L1,18087724L0
339,18087724L2,18087724L1
340,18087724L3,18087724L2
341,18087724L4,18087724L3
342,18087724L5,18087724L4
343,18087724L6,18087724L5
344,18087724L7,18087724L6
345,18087724L8,18087724L7
346,11074597L1,11074597L0
347,11074597L2,11074597L1
348,11074597L3,11074597L2
349,11074597L4,11074597L3
350,11074597L5,11074597L4
351,11074597L6,11074597L5
352,11074597L7,11074597L6
353,11074597L8,11074597L7
354,11074597L9,11074597L8
355,23857030L1,23857030L0
356,23857030L2,23857030L1
357,23857030L3,23857030L2
358,23857030L4,23857030L3
359,23857030L5,23857030L4
360,23857030L6,23857030L5
361,23857030L7,23857030L6
362,23857030L8,23857030L7
363,23857030L9,23857030L8
364,8972083L1,8972083L0
365,8972083L2,8972083L1
366,8972083L3,8972083L2
367,6302469L1,6302469L0
368,6302469L2,6302469L1
369,6302469L3,6302469L2
370,6302469L4,6302469L3
371,6302469L5,6302469L4
372,6302469L6,6302469L5
373,6302469L7,6302469L6
374,6302469L8,6302469L7
375,8817323L1,8817323L0
376,8817323L2,8817323L1
377,8817323L3,8817323L2
378,8817323L4,8817323L3
379,8817323L5,8817323L4
380,8817323L6,8817323L5
381,3988762L1,3988762L0
382,3988762L2,3988762L1
383,3988762L3,3988762L2
384,3988762L4,3988762L3
385,3988762L5,3988762L4
386,3988762L6,3988762L5
387,9671454L1,9671454L0
388,9671454L2,9671454L1
389,9671454L3,9671454L2
390,9671454L4,9671454L3
391,20702415L1,20702415L0
392,20702415L2,20702415L1
393,20702415L3,20702415L2
394,20702415L4,20702415L3
395,20702415L5,20702415L4
396,20702415L6,20702415L5
397,20702415L7,20702415L6
398,20026656L1,20026656L0
399,20026656L2,20026656L1
400,20026656L3,20026656L2
401,20026656L4,20026656L3
402,20026656L5,20026656L4
403,1730776L1,1730776L0
404,1730776L2,1730776L1
405,1730776L3,1730776L2
406,1730776L4,1730776L3
407,1730776L5,1730776L4
408,1730776L6,1730776L5
409,1730776L7,1730776L6
410,2765935L1,2765935L0
411,2765935L2,2765935L1
412,2765935L3,2765935L2
413,2765935L4,2765935L3
414,2765935L5,2765935L4
415,16282164L1,16282164L0
416,16282164L2,16282164L1
417,16282164L3,16282164L2
418,16282164L4,16282164L3
419,16282164L5,16282164L4
420,16282164L6,16282164L5
421,16282164L7,16282164L6
422,16282164L8,16282164L7
423,3462333L1,3462333L0
424,3462333L2,3462333L1
425,3462333L3,3462333L2
426,3462333L4,3462333L3
427,11716128L1,11716128L0
428,11716128L2,11716128L1
429,11716128L3,11716128L2
430,11716128L4,11716128L3
431,11716128L5,11716128L4
432,11716128L6,11716128L5
433,11716128L7,11716128L6
434,11716128L8,11716128L7
435,26816554L1,26816554L0
436,26816554L2,26816554L1
437,26816554L3,26816554L2
438,26816554L4,26816554L3
439,26816554L5,26816554L4
440,16719457L1,16719457L0
441,16719457L2,16719457L1
442,23990468L1,23990468L0
443,23990468L2,23990468L1
444,23990468L3,23990468L2
445,23990468L4,23990468L3
446,23990468L5,23990468L4
447,23990468L6,23990468L5
448,23990468L7,23990468L6
449,28806418L1,28806418L0
450,28806418L2,28806418L1
451,28806418L3,28806418L2
452,28806418L4,28806418L3
453,28806418L5,28806418L4
454,28806418L6,28806418L5
455,28806418L7,28806418L6
456,28806418L8,28806418L7
457,28806418L9,28806418L8
458,28806418L10,28806418L9
459,28806418L11,28806418L10
460,28806418L12,28806418L11
461,28806418L13,28806418L12
462,20607705L1,20607705L0
463,20607705L2,20607705L1
464,20607705L3,20607705L2
465,20607705L4,20607705L3
466,20607705L5,20607705L4
467,20607705L6,20607705L5
468,20607705L7,20607705L6
469,19754887L1,19754887L0
470,19754887L2,19754887L1
471,19754887L3,19754887L2
472,19754887L4,19754887L3
473,9551922L1,9551922L0
474,9551922L2,9551922L1
475,9551922L3,9551922L2
476,9551922L4,9551922L3
477,9551922L5,9551922L4
478,9551922L6,9551922L5
479,9551922L7,9551922L6
480,9551922L8,9551922L7
481,9551922L9,9551922L8
482,17297093L1,17297093L0
483,17297093L2,17297093L1
484,17297093L3,17297093L2
485,17297093L4,17297093L3
486,17297093L5,17297093L4
487,17297093L6,17297093L5
488,17297093L7,17297093L6
489,17297093L8,17297093L7
490,17297093L9,17297093L8
491,9842893L1,9842893L0
492,9842893L2,9842893L1
493,9842893L3,9842893L2
494,9842893L4,9842893L3
495,9842893L5,9842893L4
496,9842893L6,9842893L5
497,9842893L7,9842893L6
498,3771545L1,3771545L0
499,3771545L2,3771545L1
500,3771545L3,3771545L2
501,3771545L4,3771545L3
502,3771545L5,3771545L4
503,3771545L6,3771545L5
504,4243302L1,4243302L0
505,4243302L2,4243302L1
506,4243302L3,4243302L2
507,4243302L4,4243302L3
508,8349035L1,8349035L0
509,8349035L2,8349035L1
510,8349035L3,8349035L2
511,8349035L4,8349035L3
512,8349035L5,8349035L4
513,8349035L6,8349035L5
514,8349035L7,8349035L6
515,8349035L8,8349035L7
516,8349035L9,8349035L8
517,8349035L10,8349035L9
518,15957552L1,15957552L0
519,15957552L2,15957552L1
520,15957552L3,15957552L2
521,15957552L4,15957552L3
522,15957552L5,15957552L4
523,15957552L6,15957552L5
524,15957552L7,15957552L6
525,15957552L8,15957552L7
526,15957552L9,15957552L8
527,15957552L10,15957552L9
528,15957552L11,15957552L10
529,15957552L12,15957552L11
530,15957552L13,15957552L12
531,15957552L14,15957552L13
532,15957552L15,15957552L14
533,12070088L1,12070088L0
534,12070088L2,12070088L1
535,12070088L3,12070088L2
536,12070088L4,12070088L3
537,12070088L5,12070088L4
538,12070088L6,12070088L5
539,12070088L7,12070088L6
540,12070088L8,12070088L7
541,12070088L9,12070088L8
542,12070088L10,12070088L9
543,12070088L11,12070088L10
544,15542608L1,15542608L0
545,15542608L2,15542608L1
546,15542608L3,15542608L2
547,15542608L4,15542608L3
548,15542608L5,15542608L4
549,15542608L6,15542608L5
550,15542608L7,15542608L6
551,26845734L1,26845734L0
552,26845734L2,26845734L1
553,26845734L3,26845734L2
554,26845734L4,26845734L3
555,26845734L5,26845734L4
556,16299515L1,16299515L0
557,16299515L2,16299515L1
558,16299515L3,16299515L2
559,16299515L4,16299515L3
560,16299515L5,16299515L4
561,28335733L1,28335733L0
562,28335733L2,28335733L1
563,28335733L3,28335733L2
564,28335733L4,28335733L3
565,28335733L5,28335733L4
566,28335733L6,28335733L5
567,28335733L7,28335733L6
568,28335733L8,28335733L7
569,3016662L1,3016662L0
570,3016662L2,3016662L1
571,3016662L3,3016662L2
572,23751795L1,23751795L0
573,23751795L2,23751795L1
574,23751795L3,23751795L2
575,23751795L4,23751795L3
576,23751795L5,23751795L4
577,23751795L6,23751795L5
578,8707887L1,8707887L0
579,8707887L2,8707887L1
580,8707887L3,8707887L2
581,8707887L4,8707887L3
582,8707887L5,8707887L4
583,8707887L6,8707887L5
584,8707887L7,8707887L6
585,8707887L8,8707887L7
586,8707887L9,8707887L8
587,8707887L10,8707887L9
588,8707887L11,8707887L10
589,8707887L12,8707887L11
590,14730019L1,14730019L0
591,14730019L2,14730019L1
592,14730019L3,14730019L2
593,14730019L4,14730019L3
594,14730019L5,14730019L4
595,14730019L6,14730019L5
596,14730019L7,14730019L6
597,14730019L8,14730019L7
598,12941297L1,12941297L0
599,12941297L2,12941297L1
600,12941297L3,12941297L2
601,12941297L4,12941297L3
602,12941297L5,12941297L4
603,8972197L1,8972197L0
604,8972197L2,8972197L1
605,8972197L3,8972197L2
606,8972197L4,8972197L3
607,8972197L5,8972197L4
608,8972197L6,8972197L5
609,8972197L7,8972197L6
610,8972197L8,8972197L7
611,11479704L1,11479704L0
612,11479704L2,11479704L1
613,11479704L3,11479704L2
614,11479704L4,11479704L3
615,11479704L5,11479704L4
616,11479704L6,11479704L5
617,2162375L1,2162375L0
618,2162375L2,2162375L1
619,2162375L3,2162375L2
620,2162375L4,2162375L3
621,2162375L5,2162375L4
622,2162375L6,2162375L5
623,25311422L1,25311422L0
624,25311422L2,25311422L1
625,25311422L3,25311422L2
626,25311422L4,25311422L3
627,25311422L5,25311422L4
628,25311422L6,25311422L5
629,6353165L1,6353165L0
630,6353165L2,6353165L1
631,6353165L3,6353165L2
632,6353165L4,6353165L3
633,6353165L5,6353165L4
634,6353165L6,6353165L5
635,26061224L1,26061224L0
636,26061224L2,26061224L1
637,26061224L3,26061224L2
638,26061224L4,26061224L3
639,26061224L5,26061224L4
640,26061224L6,26061224L5
641,26061224L7,26061224L6
642,26061224L8,26061224L7
643,26061224L9,26061224L8
644,28812581L1,28812581L0
645,28812581L2,28812581L1
646,28812581L3,28812581L2
647,28812581L4,28812581L3
648,28812581L5,28812581L4
649,28812581L6,28812581L5
650,28812581L7,28812581L6
651,16449187L1,16449187L0
652,16449187L2,16449187L1
653,16449187L3,16449187L2
654,16449187L4,16449187L3
655,16449187L5,16449187L4
656,16449187L6,16449187L5
657,16449187L7,16449187L6
658,12397833L1,12397833L0
659,12397833L2,12397833L1
660,12397833L3,12397833L2
661,12397833L4,12397833L3
662,19723023L1,19723023L0
663,19723023L2,19723023L1
664,19723023L3,19723023L2
665,19723023L4,19723023L3
666,19723023L5,19723023L4
667,19723023L6,19723023L5
668,19723023L7,19723023L6
669,19723023L8,19723023L7
670,19723023L9,19723023L8
671,22424239L1,22424239L0
672,22424239L2,22424239L1
673,22424239L3,22424239L2
674,22978103L1,22978103L0
675,22978103L2,22978103L1
676,22978103L3,22978103L2
677,22978103L4,22978103L3
678,22978103L5,22978103L4
679,22978103L6,22978103L5
680,22978103L7,22978103L6
681,8396257L1,8396257L0
682,8396257L2,8396257L1
683,8396257L3,8396257L2
684,8396257L4,8396257L3
685,8396257L5,8396257L4
686,8396257L6,8396257L5
687,8396257L7,8396257L6
688,8396257L8,8396257L7
689,8396257L9,8396257L8
690,63243L1,63243L0
691,63243L2,63243L1
692,63243L3,63243L2
693,63243L4,63243L3
694,63243L5,63243L4
695,1361063L1,1361063L0
696,1361063L2,1361063L1
697,1361063L3,1361063L2
698,1361063L4,1361063L3
699,1361063L5,1361063L4
700,1361063L6,1361063L5
701,1361063L7,1361063L6
702,15976342L1,15976342L0
703,15976342L2,15976342L1
704,15976342L3,15976342L2
705,21285006L1,21285006L0
706,21285006L2,21285006L1
707,21285006L3,21285006L2
708,21285006L4,21285006L3
709,21285006L5,21285006L4
710,28248544L1,28248544L0
711,28248544L2,28248544L1
712,28248544L3,28248544L2
713,28248544L4,28248544L3
714,28248544L5,28248544L4
715,28248544L6,28248544L5
716,21739581L1,21739581L0
717,21739581L2,21739581L1
718,21739581L3,21739581L2
719,21739581L4,21739581L3
720,27566671L1,27566671L0
721,27566671L2,27566671L1
722,27566671L3,27566671L2
723,27566671L4,27566671L3
724,27566671L5,27566671L4
725,27566671L6,27566671L5
726,27566671L7,27566671L6
727,27566671L8,27566671L7
728,27566671L9,27566671L8
729,27566671L10,27566671L9
730,27566671L11,27566671L10
731,19513707L1,19513707L0
732,19513707L2,19513707L1
733,19513707L3,19513707L2
734,19513707L4,19513707L3
735,19513707L5,19513707L4
736,19513707L6,19513707L5
737,19513707L7,19513707L6
738,19513707L8,19513707L7
739,19513707L9,19513707L8
740,19513707L10,19513707L9
741,19513707L11,19513707L10
742,19513707L12,19513707L11
743,19513707L13,19513707L12
744,19513707L14,19513707L13
745,19513707L15,19513707L14
746,11960987L1,11960987L0
747,11960987L2,11960987L1
748,11960987L3,11960987L2
749,11960987L4,11960987L3
750,11960987L5,11960987L4
751,11960987L6,11960987L5
752,18077436L1,18077436L0
753,18077436L2,18077436L1
754,18077436L3,18077436L2
755,18077436L4,18077436L3
756,18077436L5,18077436L4
757,18077436L6,18077436L5
758,3147215L1,3147215L0
759,3147215L2,3147215L1
760,3147215L3,3147215L2
761,3147215L4,3147215L3
762,3147215L5,3147215L4
763,3147215L6,3147215L5
764,3147215L7,3147215L6
765,3147215L8,3147215L7
766,3147215L9,3147215L8
767,23004005L1,23004005L0
768,23004005L2,23004005L1
769,23004005L3,23004005L2
770,23004005L4,23004005L3
771,23004005L5,23004005L4
772,23004005L6,23004005L5
773,23004005L7,23004005L6
774,23004005L8,23004005L7
775,23004005L9,23004005L8
776,11754522L1,11754522L0
777,11754522L2,11754522L1
778,11754522L3,11754522L2
779,11754522L4,11754522L3
780,11754522L5,11754522L4
781,11754522L6,11754522L5
782,11754522L7,11754522L6
783,11754522L8,11754522L7
784,21717004L1,21717004L0
785,27172718L1,27172718L0
786,17534668L1,17534668L0
787,17534668L2,17534668L1
788,17534668L3,17534668L2
789,17534668L4,17534668L3
790,17534668L5,17534668L4
791,17534668L6,17534668L5
792,2517685L1,2517685L0
793,2517685L2,2517685L1
794,2517685L3,2517685L2
795,2517685L4,2517685L3
796,2517685L5,2517685L4
797,2517685L6,2517685L5
798,6354264L1,6354264L0
799,6354264L2,6354264L1
800,6354264L3,6354264L2
801,6354264L4,6354264L3
802,6354264L5,6354264L4
803,404296L1,404296L0
804,404296L2,404296L1
805,404296L3,404296L2
806,404296L4,404296L3
807,404296L5,404296L4
808,404296L6,404296L5
809,404296L7,404296L6
810,404296L8,404296L7
811,30339923L1,30339923L0
812,30339923L2,30339923L1
813,30339923L3,30339923L2
814,26669027L1,26669027L0
815,26669027L2,26669027L1
816,26669027L3,26669027L2
817,9055409L1,9055409L0
818,9055409L2,9055409L1
819,9055409L3,9055409L2
820,9055409L4,9055409L3
821,783139L1,783139L0
822,783139L2,783139L1
823,783139L3,783139L2
824,783139L4,783139L3
825,783139L5,783139L4
826,783139L6,783139L5
827,10651894L1,10651894L0
828,10651894L2,10651894L1
829,10651894L3,10651894L2
830,10651894L4,10651894L3
831,10651894L5,10651894L4
832,10651894L6,10651894L5
833,29039649L1,29039649L0
834,29039649L2,29039649L1
835,29039649L3,29039649L2
836,29039649L4,29039649L3
837,29039649L5,29039649L4
838,29039649L6,29039649L5
839,9288745L1,9288745L0
840,9288745L2,9288745L1
841,9288745L3,9288745L2
842,9288745L4,9288745L3
843,9288745L5,9288745L4
844,3569637L1,3569637L0
845,3569637L2,3569637L1
846,3569637L3,3569637L2
847,3569637L4,3569637L3
848,25491799L1,25491799L0
849,25491799L2,25491799L1
850,25491799L3,25491799L2
851,25491799L4,25491799L3
852,25491799L5,25491799L4
853,18585814L1,18585814L0
854,18585814L2,18585814L1
855,18585814L3,18585814L2
856,18585814L4,18585814L3
857,18585814L5,18585814L4
858,18585814L6,18585814L5
859,3858818L1,3858818L0
860,6203892L1,6203892L0
861,6203892L2,6203892L1
862,6203892L3,6203892L2
863,10779345L1,10779345L0
864,10779345L2,10779345L1
865,10779345L3,10779345L2
866,10779345L4,10779345L3
867,10779345L5,10779345L4
868,10779345L6,10779345L5
869,10779345L7,10779345L6
870,1015936L1,1015936L0
871,1015936L2,1015936L1
872,1015936L3,1015936L2
873,1015936L4,1015936L3
874,1015936L5,1015936L4
875,1015936L6,1015936L5
876,26240319L1,26240319L0
877,26240319L2,26240319L1
878,26240319L3,26240319L2
879,26240319L4,26240319L3
880,26240319L5,26240319L4
881,26240319L6,26240319L5
882,26240319L7,26240319L6
883,26240319L8,26240319L7
884,26240319L9,26240319L8
885,26774452L1,26774452L0
886,26774452L2,26774452L1
887,26774452L3,26774452L2
888,26774452L4,26774452L3
889,26774452L5,26774452L4
890,26774452L6,26774452L5
891,26774452L7,26774452L6
892,26774452L8,26774452L7
893,15016379L1,15016379L0
894,15016379L2,15016379L1
895,15016379L3,15016379L2
896,15016379L4,15016379L3
897,15016379L5,15016379L4
898,15016379L6,15016379L5
899,15016379L7,15016379L6
900,15016379L8,15016379L7
901,9367423L1,9367423L0
902,9367423L2,9367423L1
903,9367423L3,9367423L2
904,9367423L4,9367423L3
905,9367423L5,9367423L4
906,9367423L6,9367423L5
907,9367423L7,9367423L6
908,9367423L8,9367423L7
909,11466526L1,11466526L0
910,11466526L2,11466526L1
911,11466526L3,11466526L2
912,11466526L4,11466526L3
913,11466526L5,11466526L4
914,11466526L6,11466526L5
915,11466526L7,11466526L6
916,11466526L8,11466526L7
917,19767430L1,19767430L0
918,19767430L2,19767430L1
919,19767430L3,19767430L2
920,19767430L4,19767430L3
921,19767430L5,19767430L4
922,19767430L6,19767430L5
923,19767430L7,19767430L6
924,19767430L8,19767430L7
925,19675180L1,19675180L0
926,19675180L2,19675180L1
927,19675180L3,19675180L2
928,19675180L4,19675180L3
929,19675180L5,19675180L4
930,19675180L6,19675180L5
931,19675180L7,19675180L6
932,12126645L1,12126645L0
933,12126645L2,12126645L1
934,12126645L3,12126645L2
935,12126645L4,12126645L3
936,12126645L5,12126645L4
937,12126645L6,12126645L5
938,12126645L7,12126645L6
939,11396777L1,11396777L0
940,11396777L2,11396777L1
941,11396777L3,11396777L2
942,11396777L4,11396777L3
943,11396777L5,11396777L4
944,11396777L6,11396777L5
945,11396777L7,11396777L6
946,11396777L8,11396777L7
947,11396777L9,11396777L8
948,25652077L1,25652077L0
949,25652077L2,25652077L1
950,25652077L3,25652077L2
951,25652077L4,25652077L3
952,25652077L5,25652077L4
953,25652077L6,25652077L5
954,27748847L1,27748847L0
955,27748847L2,27748847L1
956,27748847L3,27748847L2
957,27748847L4,27748847L3
958,27748847L5,27748847L4
959,27748847L6,27748847L5
960,27748847L7,27748847L6
961,27748847L8,27748847L7
962,27748847L9,27748847L8
963,27748847L10,27748847L9
964,27748847L11,27748847L10
965,27748847L12,27748847L11
966,27773259L1,27773259L0
967,12106816L1,12106816L0
968,12106816L2,12106816L1
969,12106816L3,12106816L2
970,12106816L4,12106816L3
971,12106816L5,12106816L4
972,12106816L6,12106816L5
973,17243919L1,17243919L0
974,17243919L2,17243919L1
975,17243919L3,17243919L2
976,17243919L4,17243919L3
977,17243919L5,17243919L4
978,17243919L6,17243919L5
979,17243919L7,17243919L6
980,17243919L8,17243919L7
981,17243919L9,17243919L8
982,10946210L1,10946210L0
983,10946210L2,10946210L1
984,10946210L3,10946210L2
985,10946210L4,10946210L3
986,10946210L5,10946210L4
987,27039292L1,27039292L0
988,27039292L2,27039292L1
989,27039292L3,27039292L2
990,27039292L4,27039292L3
991,27039292L5,27039292L4
992,27039292L6,27039292L5
993,27039292L7,27039292L6
994,27039292L8,27039292L7
995,27039292L9,27039292L8
996,27039292L10,27039292L9
997,27039292L11,27039292L10
998,27039292L12,27039292L11
999,27039292L13,27039292L12
1000,27039292L14,27039292L13
1001,27039292L15,27039292L14
1002,27039292L16,27039292L15
